ISSN,TITLE,TOT_DEGREE,TOT_ART
1553-734X,PLoS Computational Biology,68,0
1367-4803,BIOINFORMATICS,652,0
1752-0509,BMC Systems Biology,68,0
1471-2105,BMC BIOINFORMATICS,338,0
0303-6812,JOURNAL OF MATHEMATICAL BIOLOGY,9,0
1748-7188,Algorithms for Molecular Biology,11,0
1465-4644,BIOSTATISTICS,15,0
1176-9343,Evolutionary Bioinformatics,1,0
1662-5188,Frontiers in Computational Neuroscience,0,0
0022-5193,JOURNAL OF THEORETICAL BIOLOGY,75,0
0277-6715,STATISTICS IN MEDICINE,3,0
0929-5313,JOURNAL OF COMPUTATIONAL NEUROSCIENCE,0,0
1093-3263,JOURNAL OF MOLECULAR GRAPHICS & MODELLING,6,0
0092-8240,BULLETIN OF MATHEMATICAL BIOLOGY,6,0
0006-3444,BIOMETRIKA,5,0
0140-0118,MEDICAL & BIOLOGICAL ENGINEERING & COMPUTING,0,0
0962-2802,STATISTICAL METHODS IN MEDICAL RESEARCH,1,0
0006-341X,BIOMETRICS,8,0
1751-8849,IET Systems Biology,7,0
1089-7771,IEEE TRANSACTIONS ON INFORMATION TECHNOLOGY IN BIOMEDICINE,1,0
1793-5245,International Journal of Biomathematics,0,0
1742-4682,Theoretical Biology and Medical Modelling,2,0
1066-5277,JOURNAL OF COMPUTATIONAL BIOLOGY,61,0
0025-5564,MATHEMATICAL BIOSCIENCES,9,0
1062-936X,SAR AND QSAR IN ENVIRONMENTAL RESEARCH,2,0
0323-3847,BIOMETRICAL JOURNAL,0,0
1477-8599,MATHEMATICAL MEDICINE AND BIOLOGY-A JOURNAL OF THE IMA,2,0
0010-4825,COMPUTERS IN BIOLOGY AND MEDICINE,11,0
1574-8936,Current Bioinformatics,3,0
1748-670X,Computational and Mathematical Methods in Medicine,1,0
1085-7117,JOURNAL OF AGRICULTURAL BIOLOGICAL AND ENVIRONMENTAL STATISTICS,1,0
0973-5348,Mathematical Modelling of Natural Phenomena,1,0
1748-5673,International Journal of Data Mining and Bioinformatics,4,0
1938-7989,Statistics and Its Interface,0,0
0218-3390,JOURNAL OF BIOLOGICAL SYSTEMS,0,0
2040-7939,International Journal for Numerical Methods in Biomedical Engineering,0,0
1868-1743,Molecular Informatics,4,0
1467-5463,BRIEFINGS IN BIOINFORMATICS,39,0
1758-0463,Database-The Journal of Biological Databases and Curation,6,0
0303-2647,BIOSYSTEMS,18,0
0001-5342,ACTA BIOTHEORETICA,1,0
2194-573X,International Journal of Biostatistics,0,0
1547-1063,Mathematical Biosciences and Engineering,0,0
1431-7613,THEORY IN BIOSCIENCES,0,0
1946-6315,Statistics in Biopharmaceutical Research,0,0
0385-4035,Hokkaido Mathematical Journal,0,0
1759-0876,Wiley Interdisciplinary Reviews-Computational Molecular Science,0,0
2156-7018,Journal of Medical Imaging and Health Informatics,0,0
1756-0381,BioData Mining,0,0
2194-6302,Statistical Applications in Genetics and Molecular Biology,2,0
0219-7200,Journal of Bioinformatics and Computational Biology,47,395
1913-2751,Interdisciplinary Sciences-Computational Life Sciences,1,0
2168-2194,IEEE Journal of Biomedical and Health Informatics,0,0
1759-2879,Research Synthesis Methods,0,0
