ISSN,TITLE,TOT_DEGREE,TOT_ART
1553-734X,PLoS Computational Biology,95,0
1367-4803,BIOINFORMATICS,29,0
1752-0509,BMC Systems Biology,9,0
1471-2105,BMC BIOINFORMATICS,17,0
0303-6812,JOURNAL OF MATHEMATICAL BIOLOGY,3,0
1748-7188,Algorithms for Molecular Biology,0,0
1465-4644,BIOSTATISTICS,1,0
1176-9343,Evolutionary Bioinformatics,1,0
1662-5188,Frontiers in Computational Neuroscience,47,0
0022-5193,JOURNAL OF THEORETICAL BIOLOGY,4,0
0277-6715,STATISTICS IN MEDICINE,2,0
0929-5313,JOURNAL OF COMPUTATIONAL NEUROSCIENCE,53,0
1093-3263,JOURNAL OF MOLECULAR GRAPHICS & MODELLING,0,0
0092-8240,BULLETIN OF MATHEMATICAL BIOLOGY,1,0
0006-3444,BIOMETRIKA,5,0
0140-0118,MEDICAL & BIOLOGICAL ENGINEERING & COMPUTING,4,0
0962-2802,STATISTICAL METHODS IN MEDICAL RESEARCH,0,0
0006-341X,BIOMETRICS,1,0
1751-8849,IET Systems Biology,0,0
1089-7771,IEEE TRANSACTIONS ON INFORMATION TECHNOLOGY IN BIOMEDICINE,3,0
1793-5245,International Journal of Biomathematics,0,0
1742-4682,Theoretical Biology and Medical Modelling,0,0
1066-5277,JOURNAL OF COMPUTATIONAL BIOLOGY,0,0
0025-5564,MATHEMATICAL BIOSCIENCES,0,0
1062-936X,SAR AND QSAR IN ENVIRONMENTAL RESEARCH,0,0
0323-3847,BIOMETRICAL JOURNAL,0,0
1477-8599,MATHEMATICAL MEDICINE AND BIOLOGY-A JOURNAL OF THE IMA,0,0
0010-4825,COMPUTERS IN BIOLOGY AND MEDICINE,9,0
1574-8936,Current Bioinformatics,0,0
1748-670X,Computational and Mathematical Methods in Medicine,1,0
1085-7117,JOURNAL OF AGRICULTURAL BIOLOGICAL AND ENVIRONMENTAL STATISTICS,0,0
0973-5348,Mathematical Modelling of Natural Phenomena,0,0
1748-5673,International Journal of Data Mining and Bioinformatics,0,0
1938-7989,Statistics and Its Interface,0,0
